"id","conference","title","work_type","url","parent_session"
"1929","15","Empowering Student Digital Scholarship: CLASS Program as a model for digital humanities scholarship in the Liberal Arts","2","",""
"1930","15","Empowering The Matsu(Goddess) Festival Celebration: From Static Woodcut Print to Animated Art","2","",""
"1931","15","Encoding metaknowledge for historical databases","10","",""
"1932","15","Enduring Traces: Exploring correspondence from the archives of Canadian modernism using digital tools and methods","2","",""
"1933","15","Enhancing Access to Online Oral History: Oral history in the Digital Age (OHDA) and Oral History Metadata Synchronizer (OHMS)","2","",""
"1934","15","Enhancing Scholarly Communication and Communities with the PressForward Plugin","2","",""
"1935","15","Enjambment and the Poetic Line: Towards a Computational Poetics","9","",""
"1936","15","Europe as a Digital Network: EGO European History Online","10","",""
"1937","15","Euterpe's Hidden Song: Patterns in Elegy","2","",""
"1938","15","Exploratory Thematic Analysis for Historical Newspaper Archives","10","",""
"1939","15","Exploring Qualitative Data for Secondary Analysis: Challenges, Methods, and Technologies","2","",""
"1940","15","Exploring the Intersection of Personal and Public Authorial Voice in the Works of Willa Cather","9","",""
"1941","15","Exploring the structuring the semantics of Medieval Legal Charters","10","",""
"1942","15","Exploring Usage of Digital Newspaper Archives through Web Log Analysis: A Case Study of Welsh Newspapers Online","10","",""
"1943","15","Extracting Relationships from an Online Digital Archive about Post-War Queensland Architecture","10","",""
"1944","15","Generative Troubling in Emerging Archival Forms","9","",""
"1945","15","Finding Inexact Quotations Within a Tibetan Buddhist Corpus","2","",""
"1946","15","Fractures and Cohesion: Using Systemic Functional Linguistics to Detect and Analyse Hate Speech in an Online Environment","9","",""
"1947","15","Framework for Quantitative Analysis of Scripts","9","",""
"1948","15","Framework of an Advisory Message Board for Women Victims after Disasters","10","",""
"1949","15","Discourses and Disciplines in the Enlightenment: Topic Modeling the French Encyclopedie","10","",""
"1950","15","From lighthouse to framework: visualising digital scholarly editions with pathways and histories","10","",""
"1951","15","From Markup to Analysis: Culture Claims and Code in the Digital Archive","10","",""
"1952","15","From the Archimedes' Palimpsest to the Vercelli Book: Dual Correlation Pattern Recognition and Probabilistic Network Approaches to Paleography in Damaged Manuscripts","9","",""
"1953","15","Future Development of a System for Annotation and Linkage of Sources in Arts and Humanities","9","",""
"1954","15","Geographies of Access: Mapping the Online Attention to Digital Humanities Articles in Academic Journals","2","",""
"1955","15","Geoweb 2.0 and Design Empowerment: A Critical Evaluation of Eleven Cases","10","",""
"1956","15","Global Outlook::Digital Humanities: Promoting Digital Humanities Research Across disciplines, regions, and cultures","3","",""
"1957","15","Harddrive Philology: Analysing the Writing Process on Thomas Kling's Archived Laptops","10","",""
"1958","15","Hartmut Skerbisch - Envisioning association processes of a conceptual artist","9","",""
"1959","15","HistoGlobe - Visualising History","2","",""
"1960","15","History All Around Us: Towards Best Practices for Augmented Reality for Public History and Cultural Empowerment","9","",""
"1961","15","How a story is performed: traditional storytelling in the hands of computing","2","",""
"1962","15","How To Do (Digital) History and Undergraduate Digital Humanities","9","",""
"1963","15","How to make games more GLAM-orous: developing game prototypes for the museum and cultural heritage sector in India","2","",""
"1964","15","How we work: a critical approach to program development to serve library/dh partnerships","2","",""
"1965","15","IMPACT : un dispositif de transcription et de commentaire de l'oral, pour l'enseignement et la recherche","10","",""
"1966","15","Incommensurability? Authorship, Style, and the Need for Theory","9","",""
"1967","15","Integrating Score and Sound: ""Augmented Notes"" and the Advent of Interdisciplinary Publishing Frameworks","10","",""
"1968","15","Intellectual Property Rights vs. Freedom of Research: Tripping stones in international IPR law","10","",""
"1969","15","Interdisziplinarität modellieren - Über die Modellierung einer Ontologie wissenschaftlicher Prozesse für den Exzellenzcluster Bild Wissen Gestaltung","2","",""
"1970","15","Interoperable Infrastructures for Digital Research: a proposed pathway for enabling transformation","2","",""
"1971","15","Introducing digital humanities through cultural analysis","9","",""
"1972","15","Kanripo and Mandoku: Tools for distributed repositories of premodern Chinese texts","9","",""
"1973","15","Kiln: XML Publishing Framework","2","",""
"1974","15","Kinomatics: big cultural data and the study of cinema","10","",""
"1975","15","L’édition numérique – système d’organisation des connaissances avec les outils sémantiques","10","",""
"1976","15","L`Innommable / The Unnamable: The Second Module of the Samuel Beckett Digital Manuscript Project's Hybrid Genetic Edition.","2","",""
"1977","15","LA HIPEREDIÇÃO DOS PANFLETOS DE EULÁLIO MOTTA: EDICIÓN FILOLÓGICA Y CULTURA DIGITAL, RETOS DE UN NUEVO TIEMPO","2","",""
"1978","15","Lacuna Stories: Building an Annotation Platform for Historical Thinking","9","",""
"1979","15","Large-scale text analysis through the HathiTrust Research Center","2","",""
"1980","15","Latent Information in Libraries and Archives: A Fluid Text Model and Proposed Documenting Infrastructure for Facilitating Textual Transmission from Codex to Online","2","",""
"1981","15","LAUDATIO-Repository: Accessing a heterogeneous field of linguistic corpora with the help of an open access repository","2","",""
"1982","15","Le canon littéraire et les bibliographies numériques: le cas des États-Unis","9","",""
"1983","15","Le labo junior « Nhumérisme » (ENS Lyon), observateur et acteur du « cultural empowerment » français","2","",""
"1984","15","Leaves of Grass: Data Animation and XML Technologies","10","",""
"1985","15","Less explored multilingual issues in the automatic processing of historical texts - a case study","9","",""
"1986","15","Let DH Be Sociological!","9","",""
"1987","15","Liberate the Text! TypeWright, Cobre, and MapThePage","2","",""
"1988","15","Light, Liturgy, and Art at the Monastery of Saint John in Müstair, Switzerland: A Software Demonstration","2","",""
"1989","15","Linked Open Data Technologies and Emblematica Online II","2","",""
"1990","15","Local voices, worldwide conversations: ethnographic methodologies as a route to understanding meaning and value of niche local digital cultural heritage resources.","2","",""
"1991","15","Macro-Etymological Textual Analysis","9","",""
"1992","15","Making Digital Humanities Work","10","",""
"1993","15","Making Waves: Algorithmic Criticism Revisited","10","",""
"1994","15","MapaHD: Exploring Spanish and Portuguese Speaking DH Communities","10","",""
"1995","15","Mapping and Unmapping Joyce: Geoparsing Wandering Rocks","10","",""
"1996","15","Mapping Colonial America's Printing Project","2","",""
"1997","15","Mapping French Press to the Digital Age","2","",""
"1998","15","Marked E-Books and Kindle's popular highlight culture","2","",""
"1999","15","Marrying the Benefits of Print and Digital: Algorithmically Selecting Context for a Key Word","10","",""
"2000","15","Matérialiser et rendre perceptible la transmission orale du savoir, L'édition électronique des cours d'Antoine Desgodets à l'Académie royale d'architecture en France, 1719-1728","10","",""
"2001","15","Measuring the style of chick lit and literature","2","",""
"2002","15","Medical Humanities. Projet de musée digital","2","",""
"2003","15","Metaphor, Popular Science and Semantic Tagging: Distant Reading with the _Historical Thesaurus of English_","10","",""
"2004","15","Mining a 'Trove': Modeling a Transnational Literary Culture","10","",""
"2005","15","Mining poetic rhythm: using text-to-speech software to rewrite English literary history","9","",""
"2006","15","Mining the Cloud of Witness: Inferring the Prestige of Saints from Medieval Paintings","9","",""
"2007","15","Mixed data, mixed audience: building a flexible platform for the Visionary Cross project","10","",""
"2008","15","Mixing contributions, collaborations and co-creation: participatory archaeology through crowd-sourcing","10","",""
"2009","15","Modèles tridimensionnels pour la représentation de létat des connaissances et propositions de visualisation pour lanalyse des corpus textuels.","10","",""
"2010","15","Modeling Linguistic Research Data for a Repository for Historical Corpora","9","",""
"2011","15","Modeling Melville's Reading: Editing Marginalia in TEI, Topic Modeling Reading and Influence","2","",""
"2012","15","Modelling digital editing: of texts, documents and works","10","",""
"2013","15","Modelling digital edition of medieval and early modern accounting documents","10","",""
"2014","15","Monolith: Materialised Bits, the Digital Rosetta Film","10","",""
"2015","15","Mountains of Text. Analyzing Alpine Literature from the AAC","2","",""
"2016","15","National Data Curation and Service Center for Digital Research Data in the Humanities","10","",""
"2017","15","Navigating the Storm: eMOP, Big DH Projects, and Agile Steering Standards","10","",""
"2018","15","Network Analysis for the History of Religions - The SeNeReKo project","2","",""
"2019","15","Neue Möglichkeiten der Arbeit mit strukturierten Sprachressourcen in den Digital Humanities mithilfe von Data-Mining","2","",""
"2020","15","New and recent developments in image analysis: theory and practice","3","",""
"2021","15","On automatically disambiguating end-of-line hyphenated words in French texts","9","",""
"2022","15","On Metaphor in Text Visualization Prototypes","9","",""
"2023","15","On Reusability and Electronic Literature","10","",""
"2024","15","Open-Access Cultural Heritage Resources and Native American Stakeholders: A Case Study from Chaco Canyon, New Mexico","2","",""
"2025","15","Orthography and Biblical Criticism","2","",""
"2026","15","Our Marathon: The Boston Bombing Digital Archive","2","",""
"2027","15","Pelagios 3: Towards the semi-automatic annotation of toponyms in early geospatial documents","10","",""
"2028","15","Photogrammar: Organizing Visual Culture through Geography, Text Mining, and Statistical Analysis","10","",""
"2029","15","Play as Process and Product: On Making Serendip-o-matic","10","",""
"2030","15","Potential Criticism in the Digital Humanities","10","",""
"2031","15","Probing Digital Scholarly Curation through the Dynamic Table of Contexts","2","",""
"2032","15","Problems in Encoding Documents of the Early Modern Japanese","9","",""
"2033","15","Problems in Modeling Transactions","9","",""
"2034","15","Process Data for Digital Scholarly Editions","10","",""
"2035","15","Producción de contenidos abiertos en museos. Un análisis crítico de los discursos museológicos en el medio digital.","10","",""
"2036","15","Progress Through Regression. Modeling Style across Genre in French Classical Theater","10","",""
"2037","15","Pushing Back the Boundary of Interpretation: Concept, Practice and Relevance of a Digital Heuristic","10","",""
"2038","15","Quantifying ""The Thing Not Named"": A Computational Analysis of Willa Cather's ""Unfurnished"" Writing Style(s)""","2","",""
"2039","15","Quelle médiation numérique pour le patrimoine bâti ?","10","",""
"2040","15","Reading Again: Annotating, Editing, and Writing in the Browser. Pedagogy, Design, and Development of Annotation Studio","2","",""
"2041","15","Reading Between the Lines: Image-to-Segment Relationship Development and Analysis","2","",""
"2042","15","Readings of a photograph: Cognition and Access","9","",""
"2043","15","Realizing the democratic potential of online sources in the classroom","10","",""
"2044","15","Reconstruction and Display of a Nineteenth Century Landscape Model","10","",""
"2045","15","Relating texts to 3D-information: A generic software environment for Spatial Humanities","10","",""
"2046","15","Remediating 20th-Century Magazines of the Arts: Approaches, Methods, Possibilities","3","",""
"2047","15","Representation and Absence in Digital Resources: The Case of Europeana Newspapers","10","",""
"2048","15","Rethinking HathiTrust Metadata to Support Workset Creation for Scholarly Analysis","2","",""
"2049","15","Rethinking Recommendations: Digital Tools for Art Discovery","9","",""
"2050","15","Rethinking Text Reuse as Digital Classicists","3","",""
"2051","15","Revisionism as Outreach: The Letters of 1916 Project","10","",""
"2052","15","Riorganizzare SignWriting per favorire la ricerca linguistica sulle Lingue dei Segni","10","",""
"2053","15","Scholarly primitives revisited: towards a practical taxonomy of digital humanities research activities and objects","9","",""
"2054","15","Screen Rhetoric and Alternative Scholarship","9","",""
"2055","15","Seeing Dialogue: Network Visualization of Dramatic Texts","2","",""
"2056","15","Seeing the Trees & Understanding the Forest","10","",""
"2057","15","Semantic Blumenbach: Exploration of text-object relationship with sematic web technologies in the history of science","2","",""
"2058","15","Sentiment Analysis for the Humanities: the Case of Historical Texts","10","",""
"2059","15","Sequence, Tree and Graph at the Tip of Your Java Classes","10","",""
"2060","15","Shedding Light on Dickens' Style Through Representativeness & Distinctiveness","2","",""
"2061","15","Simulating the Cultural Evolution of Literary Genres","10","",""
"2062","15","Single Page Apps for Humanists: A Case Study using the Perseus Richmond Times Corpus","9","",""
"2063","15","Six terms fundamental to modelling transcription","10","",""
"2064","15","Small-Scale Big Data: Experimental Literature and Distributed Computing","9","",""
"2065","15","SNAP:DRGN - Standards for Networking Ancient Prosopographies: Data and Relations in Greco-roman Names","2","",""
"2066","15","Socially-Derived Linking and Data Sharing within a Virtual Laboratory for the Humanities","10","",""
"2067","15","Speaking in Code","2","",""
"2068","15","Spectacle vivant et technologie numérique: du laboratoire scientifique au plateau de théâtre","3","",""
"2069","15","SpokenWeb: Developing a Comprehensive Web-Based Digital Spoken Word Archive for Literary Research","2","",""
"2070","15","Spreading DiRT: extending the Digital Research Tools directory","2","",""
"2071","15","STAK - Serendipitous Tool for Augmenting Knowledge: Bridging Gaps between Digital and Physical Resources","10","",""
"2072","15","Starting the Conversation: Literary Studies, Algorithmic Opacity, and Computer-Assisted Literary Insight","10","",""
"2073","15","Student Collaborators in Digital Humanities Outreach and Advocacy: Strategies and Examples from the IDHMC at Texas A&M University","9","",""
"2074","15","Stylometry of Collaborations: Dickens, Collins and their collaborative writings","10","",""
"2075","15","Stylometry, Network Analysis, and Latin Literature","2","",""
"2076","15","Supporting ""Distant Reading"" for Web Archives","10","",""
"2077","15","Supporting cross-media analyses by automatically linking multiple collections","2","",""
"2078","15","Sustainability?! Four Paradigms for Humanities Data Centers","2","",""
"2079","15","Swiss Voice App: A smartphone application for crowdsourcing Swiss German dialect data","9","",""
"2080","15","SyMoGIH project and Geo-Larhra: A method and a collaborative platform for a digital historical atlas","9","",""
"2081","15","Taco: A Metadata System for Hierarchical Structured Data Collections","2","",""
"2082","15","Taking a Global Perspective on the Skills and Competencies Important to Digital Scholarship","2","",""
"2083","15","Taking manuscripts apart, and putting them together","2","",""
"2084","15","TEI Customization for enconding paratexts in spanish printed books (XV-XVIII)","2","",""
"2085","15","Text Mining Plato's Dialogues","9","",""
"2086","15","TextGrid: Creating, publishing and archiving digital editions and other data from the arts and humanities via a Virtual Research Environment and its repository","2","",""
"2087","15","The Ancient Coins of Thrace: A Numismatic Web Portal","9","",""
"2088","15","The Annotated Star: A Collaborative Digital Edition of Rosenzweig's Star of Redemption","2","",""
"2089","15","The Arabic Papyrology Database","2","",""
"2090","15","The CENDARI Project: A user-centered 'enquiry environment' for modern and medieval historians","2","",""
"2091","15","The Changing Canon of Beauty: Facial Attractiveness in the Representation of Human Faces in World Painting","10","",""
"2092","15","The Chimeria Platform: User Empowerment through Expressing Social Group Membership Phenomena","10","",""
"2093","15","The Cryptic Novel: A Computational Taxonomy of the Eighteenth-Century Literary Field","10","",""
"2094","15","The CWRC-Writer Bridge: from Coder to Writer, XML to RDF, DH to Mainstream","2","",""
"2095","15","The Development of The Dickens Lexicon Digital and its Practical Use for the Study of Late Modern English","2","",""
"2096","15","The DigiPal Framework for Script and Image","2","",""
"2097","15","The Digital Alchemist: A Mixed Reality Exploration of Jonson's Alchemist as Site-Specific Theatre","2","",""
"2098","15","The dog that didn't bark: A longitudinal study of reading behaviour in physical and digital environments","10","",""
"2099","15","The Early Modern OCR Project (eMOP): Fostering Access to Early Modern Cultural Materials","2","",""
"2100","15","The Inherited Self: Reappraising Literary Cultural Heritage through Digital Methods","2","",""
"2101","15","The Landscapes of Casta Paintings: Depictions of Social Anxieties in XVIII Century New Spanish Art","10","",""
"2102","15","The Layered Text. From Textual Zoom, Text Network Analysis and Text Summarisation to a Layered Interpretation of Meaning","10","",""
"2103","15","The MAAYA Project: Multimedia Analysis and Access for Documentation and Decipherment of Maya Epigraphy","9","",""
"2104","15","The MiCLUES system: Dynamic, rich contextual support for museum visits","2","",""
"2105","15","The Open Philology Project at the University of Leipzig","2","",""
"2106","15","The opportunistic librarian: A Leuven confession","9","",""
"2107","15","The potential of open computer-mediated communication channels to facilitate collaboration in geographically disbursed collaborations","9","",""
"2108","15","The Problem of Time and Space: The Difficulties in Visualising Spatiotemporal Change in Historical Data","10","",""
"2109","15","The Proportional Sizes of Genres in Eighteenth- and Nineteenth-Century English-Language Books","2","",""
"2110","15","The Rowling Case: A Proposed Standard Analytic Protocol for Authorship Questions","10","",""
"2111","15","The Scholarly 3D Toolkit: Annotation, Publication, and Analysis of 3D Scenes alongside Imported Humanities Data","10","",""
"2112","15","The SMART-GS Project: An Approach to Image-based Digital Humanities","2","",""
"2113","15","The social pleasure of the text: Applying digital humanities methods to reception studies","10","",""
"2114","15","The Stanford Literary Lab Transhistorical Poetry Project Phase II: Metrical Form","10","",""
"2115","15","The Story of Stopwords: Topic Modeling an Ekphrastic Tradition","10","",""
"2116","15","The SyMoGIH project : Sharing and publishing historical and geographical data in a standard, open and interoperable way","2","",""
"2117","15","The Telltale Hat: LDA and Classification Problems in a Large Folklore Corpus","10","",""
"2118","15","The Workspace for Collaborative Editing","10","",""
"2119","15","TheofPhilo. A prototype for a Thesaurus of Philosophy","9","",""
"2120","15","Topotime: Representing historical temporality","10","",""
"2121","15","Towards a Semantic Network of Dante's Works and Their Contextual Knowledge","9","",""
"2122","15","Towards an Archaeology of Text Analysis Tools","10","",""
"2123","15","Towards visualizing linguistic patterns of deliberation: a case study of the S21 arbitration","9","",""
"2124","15","Tracing Workflow of a Digital Scholar","10","",""
"2125","15","Tracking Semantic Drift in Ancient Languages: The Bible as Exemplar and Test Case","10","",""
"2126","15","Trading Consequences: A Case Study of Combining Text Mining & Visualisation to Facilitate Document Exploration","10","",""
"2127","15","Transcribo: A Graphical Editor for Transcribing and Annotating Textual Witnesses. Preparing a Historical-Critical Edition of Arthur Schnitzler's Works.","2","",""
"2128","15","Transcriptional implicature: a contribution to markup semantics","10","",""
"2129","15","Treasure Challenge: an archaeological video conferencing journey","9","",""
"2130","15","Tuning the Word Frequency List","10","",""
"2131","15","Two Irish Birds: A Stylometric Analysis of James Joyce and Flann O'Brien","10","",""
"2132","15","Two new tools for multimodal editions","9","",""
"2133","15","Uncertain about Uncertainty: Different ways of processing fuzziness in digital humanities data","9","",""
"2134","15","Unhappy? There's an App for That: Digital Happiness, Data Mining, and Networks of Well-Being","10","",""
"2135","15","User-friendly lemmatization and morphological annotation of Early New High German manuscripts","2","",""
"2136","15","Using Computer Vision to Improve Image Metadata","10","",""
"2137","15","Using digitized newspaper archives to investigate identity formation in long-term public discourse","9","",""
"2138","15","Using Social Network Analysis to Reveal Unseen Relationships in Medieval Scotland","9","",""
"2139","15","Validating Computational Stylistics in Literary Interpretation","10","",""
"2140","15","Visualization As a Bridge to Close Reading: The Audience in The Castle of Perseverance","2","",""
"2141","15","Visualization of Historical Knowledge Structures: An Analysis of the Bibliography of Philosophy","2","",""
"2142","15","Visualization, Interactivity and Contextualization as Digital Cultural Empowerment: Ancient Egyptian Architectural Terminology Online","2","",""
"2143","15","Visualizing Computational, Transversal Narratives from the World Trade Towers","10","",""
"2144","15","Visualizing Global News","10","",""
"2145","15","Visualizing Homelessness","2","",""
"2146","15","Visualizing theatrical heritage: Computer modelling as a tool for researching the theatre history of the Low Countries","2","",""
"2147","15","What is Modeling and What is Not?","3","",""
"2148","15","What remains to be done - Exposing invisible collections in the other 6500 languages and why it is a DH enterprise.","9","",""
"2149","15","What we make of Code: The Role of Programming in the Digital Humanities","2","",""
"2150","15","What's in a Discipline? Research Practices, Use of Tools and Content in the Humanities and Social Sciences - The web-based questionnaires of EHRI and Europeana Cloud.","2","",""
"2151","15","When Kidnapping is but One Risk: Digital Studies Challenge Scholarly and Regional Cultures","10","",""
"2152","15","Where is my Other Half?","10","",""
"2153","15","Who is we? The social media project: Día de las humanidades digitales/Dia das humanidades digitais","9","",""
"2154","15","XML-Print. Typesetting arbitrary XML documents in high quality","10","",""
"2155","15","Z-Axis Scholarship: Modeling How Modernists Wrote the City","10","",""
"2156","16","'""Everything on Paper Will Be Used Against Me"": Quantifying Kissinger'","10","https://github.com/ADHO/dh2015/blob/master/xml/KAUFMAN_Micki___Everything_on_Paper_Will_Be_Used_Agains.xml",""
"2157","16","_CATview_ - Supporting The Investigation Of Text Genesis Of Large Manuscripts By An Overall Interactive Visualization Tool","2","https://github.com/ADHO/dh2015/blob/master/xml/P_CKELMANN_Marcus__CATview____Supporting_The_Investigat.xml",""
"2158","16","‘Nothing That Is Not There and The Nothing That Is’: Tracking the Digital Echoes between Churchyard and Theatre in Shakespeare’s London","10","https://github.com/ADHO/dh2015/blob/master/xml/DABBS_Thomas_Winn__Nothing_That_Is_Not_There_and_The_No.xml",""
"2159","16","“…a writer essential to the others…” ∗: further reflections towards a methodology and case study of a potential exemplar of Shakespeare’s hand in annotations to an edition of the Eirenarcha (c1605?)","3","https://github.com/ADHO/dh2015/blob/master/xml/COHEN_Hart___a_writer_essential_to_the_others______furt.xml",""
"2160","16","'88milSMS', A New Digital Corpus Resource Of French Text Messages: Why We Chose To Exclude Full Transcoding And Standardised Tagging.","2","https://github.com/ADHO/dh2015/blob/master/xml/PANCKHURST_Rachel__88milSMS___A_New_Digital_Corpus_Reso.xml",""
"2161","16","A 3D Model Of The Venetian Galeazza","2","https://github.com/ADHO/dh2015/blob/master/xml/CAVINATO_Alessandro_A_3D_Model_Of_The_Venetian_Galeazza.xml",""
"2162","16","A Closer Look: Developing Mobile Applications to Reveal Hidden Meanings of Art","2","https://github.com/ADHO/dh2015/blob/master/xml/DOWNING_Laura_Kathryn_A_Closer_Look__Developing_Mobile_.xml",""
"2163","16","A Collaborative Interdisciplinary Knowledge-Base for the Art Conservation Community","9","https://github.com/ADHO/dh2015/blob/master/xml/HUNTER_Jane_A_Collaborative_Interdisciplinary_Knowledge.xml",""
"2164","16","A Computational Bibliography Of Two Plays From The Shakespeare Folio","10","https://github.com/ADHO/dh2015/blob/master/xml/CRAIG_Hugh_A_Computational_Bibliography_Of_Two_Plays_Fr.xml",""
"2165","16","A Digital Humanities GIS Ontology: Tweetflickertubing James Joyce's ""Ulysses"" (1922)","10","https://github.com/ADHO/dh2015/blob/master/xml/TRAVIS_Charles_Bartlett_A_Digital_Humanities_GIS_Ontolo.xml",""
"2166","16","A Distant Reading Visualization for Variant Graphs","10","https://github.com/ADHO/dh2015/blob/master/xml/J_NICKE_Stefan_A_Distant_Reading_Visualization_for_Vari.xml",""
"2167","16","A Longitudinal Analysis of Knowledge Integration in Digital Humanities Using Co-citation Analysis","9","https://github.com/ADHO/dh2015/blob/master/xml/TANG_Muh_Chyun_A_Longitudinal_Analysis_of_Knowledge_Int.xml",""
"2168","16","A plea for a method-driven agenda in the Digital Humanities","10","https://github.com/ADHO/dh2015/blob/master/xml/KUHN_Jonas_A_plea_for_a_method_driven_agenda_in_the_Dig.xml",""
"2169","16","A Quantitative Analysis for the Authorship of Saikaku's Posthumous Works Compared with Dansui's works","2","https://github.com/ADHO/dh2015/blob/master/xml/UESAKA_Ayaka_A_Quantitative_Analysis_for_the_Authorship.xml",""
"2170","16","A Story of Design Research: Initiating a change network for Western Sydney","2","https://github.com/ADHO/dh2015/blob/master/xml/GILL_Alison_A_Story_of_Design_Research__Initiating_a_ch.xml",""
"2171","16","A Study of Symbolic Element Network in National Emblems","2","https://github.com/ADHO/dh2015/blob/master/xml/LIU_Jyi_Shane_A_Study_of_Symbolic_Element_Network_in_Na.xml",""
"2172","16","A System for the Textual Inheritance Relation of Chinese Historical Classics ""Comprehensive Mirror"", ""Grand Tortoise"" and ""Standard Histories""","2","https://github.com/ADHO/dh2015/blob/master/xml/HSIANG_Jieh_A_System_for_the_Textual_Inheritance_Relati.xml",""
"2173","16","Accidental Discovery, Intentional Inquiry: Leveraging Linked Data to Uncover the Women of Jazz","9","https://github.com/ADHO/dh2015/blob/master/xml/PATTUELLI_M__Cristina_Accidental_Discovery__Intentional.xml",""
"2174","16","Alveo: Software Engineering with Humanities Researchers","2","https://github.com/ADHO/dh2015/blob/master/xml/BERGHOLD_Jared_Alveo__Software_Engineering_with_Humanit.xml",""
"2175","16","An Efficient Collaborative Web-based Working Environment For The Creation Of A Digital Sanskrit Dictionary","10","https://github.com/ADHO/dh2015/blob/master/xml/HESSE_Sascha_An_Efficient_Collaborative_Web_based_Worki.xml",""
"2176","16","An entity-based approach to interoperability in the Canadian Writing Research Collaboratory","10","https://github.com/ADHO/dh2015/blob/master/xml/BROWN_Susan_An_entity_based_approach_to_interoperabilit.xml",""
"2177","16","An Environment for putting Digital Humanities Pedagogy in Place","2","https://github.com/ADHO/dh2015/blob/master/xml/BURR_Elisabeth_An_Environment_for_putting_Digital_Human.xml",""
"2178","16","Anatomy of a Drop-Off Reading Curve","9","https://github.com/ADHO/dh2015/blob/master/xml/BORNET_Cyril_Anatomy_of_a_Drop_Off_Reading_Curve.xml",""
"2179","16","Animation of Chinese Characters: the Evolution of the Shapes and Styles","2","https://github.com/ADHO/dh2015/blob/master/xml/HU_Jiajia_Animation_of_Chinese_Characters__the_Evolutio.xml",""
"2180","16","Applying a Combined Quantitative and Qualitative Analysis Method to Evaluate the Translatorship of the Fourth Division of the Chinese Translation of the Dīrgha-āgama","10","https://github.com/ADHO/dh2015/blob/master/xml/HUNG_Jen_Jou_Applying_a_Combined_Quantitative_and_Quali.xml",""
"2181","16","Approaching Textuality with the Metaphor of the Digitized Workset","9","https://github.com/ADHO/dh2015/blob/master/xml/BHATTACHARYYA_Sayan_Approaching_Textuality_with_the_Met.xml",""
"2182","16","Archaeology in the Digital Age: From Paper to Databases","2","https://github.com/ADHO/dh2015/blob/master/xml/POIBEAU_Thierry_Archaeology_in_the_Digital_Age__From_Pa.xml",""
"2183","16","At the Crossroads of Data and Wonder: Algorithmic Approaches to Fairy Tales on Television","9","https://github.com/ADHO/dh2015/blob/master/xml/MCDONALD_Jarom_Lyle_At_the_Crossroads_of_Data_and_Wonde.xml",""
"2184","16","Automated Comparison of Narrative and Character Function Similarity Using Graph Theory","10","https://github.com/ADHO/dh2015/blob/master/xml/MILLER_Ben_Automated_Comparison_of_Narrative_and_Charac.xml",""
"2185","16","Automatic semantic tagging of Leo Tolstoys works","9","",""
"2186","16","AXES: Researching & Accessing Videos Through Multimodal Analyses","2","https://github.com/ADHO/dh2015/blob/master/xml/KLEPPE_Martijn_AXES__Researching___Accessing_Videos_Thr.xml",""
"2187","16","Beyond Boundaries: Digital Humanities, Life Sciences and IT research","10","https://github.com/ADHO/dh2015/blob/master/xml/CLIVAZ_Claire_Beyond_Boundaries__Digital_Humanities__Li.xml",""
"2188","16","Beyond Potomology And Place - (Re) Imagining Narratives Of Journeys And Non-Places Along The Oxus River","10","",""
"2189","16","Beyond Pragmatics: Disciplinary Profits of Interdisciplinary Approaches","9","https://github.com/ADHO/dh2015/blob/master/xml/JACKE_Janina_Beyond_Pragmatics__Disciplinary_Profits_of.xml",""
"2190","16","Beyond the Library Walls: The National Library of Wales Research Programme in Digital Collections","10","https://github.com/ADHO/dh2015/blob/master/xml/JAMES_Rhian_Beyond_the_Library_Walls__The_National_Libr.xml",""
"2191","16","Black Boxed Selves","3","https://github.com/ADHO/dh2015/blob/master/xml/GALLAGHER_Rob_Black_Boxed_Selves.xml",""
"2192","16","Bridging the Gap between the National Library and the Researchers","2","https://github.com/ADHO/dh2015/blob/master/xml/WILMS_Lotte_Bridging_the_Gap_between_the_National_Libra.xml",""
"2193","16","Bringing to life the Living Archive of Aboriginal Languages","9","https://github.com/ADHO/dh2015/blob/master/xml/BOW_Cathy_Bringing_to_life_the_Living_Archive_of_Aborig.xml",""
"2194","16","Building Better Linked Data & Ontology Visualization Tools","2","https://github.com/ADHO/dh2015/blob/master/xml/SIMPSON_John_Edward_Building_Better_Linked_Data___Ontol.xml",""
"2195","16","Building Post-disaster Social Capital: A Current State Report on the UC CEISMIC Digital Archive","10","https://github.com/ADHO/dh2015/blob/master/xml/SMITHIES_James_Dakin_Building_Post_disaster_Social_Capi.xml",""
"2196","16","Building The Early Modern Digital University: Using Social Network Analysis and Digital Visualization Tools To Bring The Early Modern Network Of Networks (EMNON) To Life","9","https://github.com/ADHO/dh2015/blob/master/xml/WILSON_Emma_Annette_Building_The_Early_Modern_Digital_U.xml",""
"2197","16","Can A Global Digital Humanities Include Private-Sector Collaborations? A Case Study Of One University-Community Digital Humanities Partnership","10","",""
"2198","16","Capturing Virtual Verse: A Needs Assessment for Access and Preservation of Online-Only Literature","10","https://github.com/ADHO/dh2015/blob/master/xml/GREEN_Harriett_Elizabeth_Capturing_Virtual_Verse__A_Nee.xml",""
"2199","16","Challenges of an XML-based Open-Access Journal: Digital Humanities Quarterly","10","https://github.com/ADHO/dh2015/blob/master/xml/FLANDERS_Julia_Challenges_of_an_XML_based_Open_Access_J.xml",""
"2200","16","Change, transition and governance: Lessons from a long-term, large scale DH collaboration","9","",""
